X,Y,Class
-1.053892,1.971906,0
-1.011370,0.353900,0
2.685188,-1.448003,1
2.439174,-1.714542,1
1.714490,-2.321562,1
-1.884193,0.826134,0
-2.570468,3.513623,0
2.107312,-1.803774,0
1.401636,-2.594098,1
-1.998946,-2.148144,2
-1.571093,-1.231634,2
1.995148,-2.394688,1
1.439881,-2.531592,1
-2.650142,-1.415867,2
-1.381193,1.635740,0
2.016438,-2.070370,0
-1.053345,-2.028975,2
2.189972,-1.875230,1
-1.385032,-2.384785,2
-1.803821,-2.136443,2
-3.070410,1.564137,0
2.131616,-1.771946,1
-4.117259,1.388083,0
-1.691366,1.729237,0
-0.775838,-2.174788,2
-0.274046,2.727747,0
-3.288256,2.347127,0
2.107446,-1.928964,1
-2.278828,-1.752448,2
-1.956602,-1.813008,2
2.024705,-2.002164,1
2.219031,-1.589887,1
-0.661133,1.765676,0
-2.099638,1.903686,0
0.984935,2.221250,0
-2.788136,-1.894348,2
2.552240,-1.049940,1
1.351368,-2.879271,1
-3.531908,-2.377961,2
-2.706729,-1.951356,2
-2.286275,1.961923,0
2.964455,-0.917818,1
2.106168,-1.643524,1
-1.802811,-2.281420,2
-1.569401,-1.864110,2
-0.119201,2.467539,0
1.181752,-3.035022,1
-1.389953,0.942802,0
-3.368156,1.202013,0
-0.129888,-0.398424,0
-3.266810,-2.271254,1
-1.295747,1.973216,0
-1.278811,-1.129175,2
-1.683074,-2.780840,1
-1.336289,-1.970487,2
-2.615816,3.356755,0
-2.892283,-2.408449,2
1.116961,0.831162,0
-2.129284,-1.971224,2
2.406803,-1.883874,1
1.954384,-2.059110,1
-2.211722,-1.580922,2
-3.322872,-1.236100,2
1.589453,-2.435086,1
-0.991731,3.309814,0
1.585005,-2.428140,1
3.309313,-0.138343,1
1.147970,-3.092862,1
2.100497,-1.798197,1
-1.484439,1.871037,0
-0.719975,0.622197,0
-3.135370,-1.594347,2
-2.798036,-1.458878,2
1.963842,-1.867548,1
0.001378,0.133331,0
2.510965,-1.559223,1
0.026204,1.319702,0
-2.554941,1.774689,0
1.989794,-2.236789,1
-1.896487,-2.367370,2
-1.890010,1.090889,0
-3.055031,3.158139,0
1.752490,-2.634280,1
2.222935,-1.837489,1
1.668900,-2.279783,1
-2.097945,-1.961376,2
3.162261,-0.862714,1
-2.860620,-1.902769,2
-3.020200,-2.264621,2
-1.664640,1.848275,0
-1.951078,-1.969390,2
-0.446188,-2.100074,2
-4.133671,1.808661,0
-1.756993,-1.791606,2
2.452542,-1.438448,1
-2.745492,-0.429391,0
-3.793032,1.565309,0
-2.518946,3.443179,0
-1.024177,-2.261356,2
-1.723390,-2.336692,2
