X,Y,Class
-0.092618,0.453991,0
0.376683,0.265713,0
0.460135,0.618213,1
-0.598210,-0.460199,1
-2.218801,0.610077,2
-1.449946,-1.257872,2
-2.201039,-0.433422,2
0.182653,-0.737860,1
1.188030,-2.179599,2
0.323133,-0.663884,1
0.503213,0.765919,1
-1.253017,-1.467305,2
-1.892770,1.996616,2
-0.656067,0.969371,1
-1.008088,0.358666,1
-0.168715,0.799225,1
0.006473,-0.037766,0
2.010168,-0.267511,2
0.879550,0.442275,1
-0.709217,-0.062048,0
-0.072752,0.323760,0
-0.465141,0.097718,0
0.516015,-1.024642,1
-0.580932,0.889106,1
-0.181150,-0.890363,1
1.261369,-1.004078,2
-1.542567,-0.339361,2
-0.989302,-1.079810,2
0.451268,-0.142684,0
0.124454,-0.662497,0
-0.955807,1.029141,2
-0.400609,0.410160,0
1.198176,1.139993,2
-0.367201,1.009964,1
-1.538020,-1.454154,2
-0.082763,-0.603809,0
0.405664,1.532535,2
-0.101709,0.405150,0
0.623838,-0.522682,1
-0.748520,-0.999187,1
-0.748036,-0.958384,1
0.813141,0.337727,1
0.134856,-0.263497,0
-1.427378,0.383664,2
-0.906973,0.247124,1
0.617473,-1.637609,2
-1.244671,0.258922,2
1.050752,-1.236608,2
0.240161,0.096711,0
-1.026145,-0.966346,2
-0.630322,-0.580818,1
0.157254,-0.102954,0
-0.256727,0.015070,0
0.337198,0.203728,0
-1.781906,1.648019,2
0.185932,-0.637490,0
1.514433,0.636349,2
-0.499587,0.726718,1
-0.073355,0.738725,1
0.003843,1.133147,1
-0.537752,2.132804,2
-0.290453,-0.185524,0
0.419687,0.460031,0
0.710051,-0.695193,1
-0.370143,0.328306,0
-1.042690,0.236325,1
0.450773,1.096759,1
0.330589,0.552530,0
2.237261,-1.504608,2
0.290891,0.241065,0
-0.181168,-0.128115,0
-0.460140,0.419795,0
-0.535129,-0.351663,0
-0.540369,0.137139,0
0.196487,0.229485,0
-0.136055,0.438848,0
-0.354286,2.826685,2
-1.306605,0.424736,2
-0.424174,-0.304590,0
-0.608142,0.317049,0
0.120622,0.776521,1
-1.206945,0.236176,1
0.984116,0.712437,1
0.238987,1.333848,2
-0.082870,0.307634,0
1.125575,0.715912,2
2.427761,-1.152625,2
1.447976,-0.668348,2
0.529816,-0.565505,1
0.143919,-0.914409,1
1.132151,1.224982,2
1.208703,-1.015507,2
-0.696434,0.265525,1
0.883288,0.096771,1
0.487763,0.343546,0
1.021217,-1.100118,2
0.339385,-0.001810,0
0.094708,-0.717964,1
2.238935,-2.389260,2
1.674833,-0.346528,2
