X,Y,Class
0.375498,-1.404828,0
-1.868957,1.905547,0
0.175506,1.495751,2
-0.359870,-0.686937,0
1.157939,0.642929,0
1.580390,-0.098876,2
1.163790,-0.620454,2
-0.762737,0.240036,1
0.668425,0.253759,2
-1.041497,1.348799,0
-0.035433,-0.946370,1
-0.688593,0.890325,0
-0.763595,-0.692340,1
0.605376,-0.472450,1
0.468220,0.142001,1
-0.786486,0.469702,2
0.956527,-0.200434,2
0.383363,1.075790,2
-0.291393,-2.812876,0
-0.897968,-0.973180,2
-0.421979,1.756161,0
-1.091529,1.013614,2
-0.402955,-0.090413,1
-1.517724,-0.359844,1
2.583010,-0.842915,0
-1.453553,-0.575053,1
-1.095409,-0.800228,2
-0.861525,-2.337214,1
0.694134,-0.182495,1
-1.429142,0.053211,1
1.178186,0.409609,1
0.193179,-1.726505,0
-0.701533,-0.385771,0
-0.559249,0.874234,0
0.161301,1.476137,2
0.757471,-1.393005,2
0.309679,-0.181448,0
-1.644070,-2.249072,1
-1.014078,3.185760,0
-0.329790,-0.395694,1
0.367210,0.518476,2
-0.296183,-1.001526,1
-0.306254,-0.336517,0
-0.518727,1.230948,2
-0.627154,1.337866,2
0.329399,-0.362912,2
1.135508,-1.875455,0
0.510284,0.147722,1
-0.061329,-0.615738,1
-1.328521,-0.362905,0
0.641572,1.365837,0
-1.095631,-0.034220,2
-1.942990,0.446186,1
-0.698861,0.565226,0
-1.247888,0.997831,1
0.745148,-0.189890,1
-0.502053,0.398746,2
1.077873,1.038219,2
0.532276,-0.954613,2
-0.330222,-0.043005,1
0.509330,-1.190265,1
-0.469845,0.447313,1
0.073503,-0.177630,0
1.003961,-2.208329,2
0.226559,1.502643,0
2.134016,0.429101,2
-1.235991,-0.447743,2
-0.145423,0.614341,0
-0.994981,0.060534,2
-1.495390,-0.424143,2
-0.288365,-0.483423,0
0.381754,-1.172075,2
-1.031751,2.344785,1
0.397546,2.454060,2
0.640855,0.131226,1
-0.107431,1.532045,0
0.219179,-0.707973,1
0.397392,0.551924,2
1.271285,1.303056,1
-0.363343,1.261369,0
0.584263,1.300343,1
1.268443,-1.200297,0
-1.587005,-0.291508,1
0.822720,-0.861062,0
-1.717236,1.061136,0
0.212888,-3.106833,1
0.439138,0.650996,0
0.132023,-0.490012,1
-0.320366,0.418122,2
1.533472,-0.874403,2
-0.691439,-0.119816,0
2.504923,0.734425,2
-1.028621,-0.118202,1
-2.004265,0.470676,0
-1.510709,0.309941,2
-1.449662,-1.362092,0
-0.139036,0.639251,2
-1.116868,0.972542,0
1.510636,1.251350,0
1.851838,1.326871,1
