X,Y,Class
1.807312,0.572513,1
-1.816626,-1.668643,0
-0.763720,-1.018939,0
1.375353,1.458831,2
1.725715,0.553753,1
-0.883792,-0.870421,0
0.978087,1.093337,1
-0.377145,1.123704,2
1.398110,0.647635,1
0.870458,1.221522,1
-0.021863,1.842211,1
-0.604215,-0.678753,0
-0.945277,-0.808844,0
-1.338419,1.179724,2
-2.135985,0.390208,2
-2.025236,-1.739943,0
1.321791,0.951761,2
-0.304708,-0.432290,0
0.649016,0.707897,2
1.750319,0.416908,1
-0.337849,-0.359770,0
-0.671945,0.773237,2
0.729942,1.230375,1
0.432425,1.436176,1
0.647061,1.082654,1
-1.256634,-1.125829,0
-1.146442,-1.098863,0
1.360823,1.622654,2
-0.637610,-0.914518,0
1.370913,0.883098,1
-0.330297,0.460645,2
-0.645766,2.385988,1
-1.159996,1.504747,2
-0.106243,1.100932,2
-1.462396,0.981013,2
-0.985475,-1.214151,0
0.582728,1.233660,1
-0.820524,1.240846,2
-0.312157,1.771944,2
2.169651,0.391336,1
-1.281178,1.649702,2
-1.046375,-1.056202,0
2.173586,0.089202,1
-0.375169,1.096173,2
2.500561,-0.094784,1
-1.364903,1.168882,2
-1.630107,-1.105829,0
-1.051337,0.627555,2
0.166542,1.684854,1
-1.174093,-1.206848,0
1.514397,0.411766,1
1.551776,0.547568,1
0.634106,1.586468,1
-1.648028,0.689918,2
0.231532,-0.004290,0
-1.258466,-1.147902,0
0.242732,1.790703,1
-1.064154,-1.158909,0
-1.622827,1.486813,2
-2.055457,0.295399,2
0.025939,2.270997,2
0.101924,1.386217,2
-1.240843,-1.072427,0
1.166551,0.969150,1
1.496881,0.401415,1
0.282409,1.406103,1
1.205554,0.897332,1
-0.229533,-0.747203,0
-1.991658,0.745862,2
1.692099,0.630961,1
-1.586092,-1.604213,0
1.749617,0.387644,1
-1.061403,-1.083692,0
1.845950,0.529098,1
-0.728332,0.820459,2
-0.558598,-0.830102,0
0.068201,1.435611,2
-0.571720,-0.989640,0
1.031410,0.749120,1
-0.287891,0.782796,2
-2.034848,-1.592964,0
-2.062254,-1.483802,0
-0.661848,-0.732394,0
-0.818215,1.078719,2
-2.052995,0.917378,2
1.325043,0.618689,1
-1.684294,-1.787077,0
-0.532394,0.903393,2
-1.260849,-1.445712,0
0.537881,1.330791,1
1.316554,0.615254,1
1.400256,0.312998,1
-0.994006,-0.837045,0
-0.381906,-0.883235,0
-0.822238,-0.920841,0
0.139170,0.421385,2
-0.605929,-0.661162,0
-1.550636,0.767802,2
-1.124112,1.227979,2
-1.262773,-1.027812,0
