X,Y,Class
1.135208,-0.563819,1
-0.219065,0.686028,0
1.266101,1.049218,2
-0.354063,-1.536006,2
0.978970,1.561667,2
-1.267583,0.423789,1
0.777037,-0.402612,0
0.682241,-0.377877,0
1.749915,0.098364,2
0.548001,-1.797790,2
-0.430839,0.311958,0
-1.091764,-1.110403,2
0.060714,-0.474634,0
0.048897,0.654307,0
-1.896791,-0.872281,2
-0.007756,-0.317153,0
-0.192231,-0.630209,0
-0.216326,0.799177,0
0.414467,-0.787369,0
-0.794969,0.055034,0
0.791957,0.458303,0
0.112807,-2.041775,2
-0.680269,-0.044756,0
0.341414,1.394314,1
0.767685,-0.693724,1
-0.111003,-0.847816,0
-0.404030,0.737404,0
1.519943,0.346321,2
0.656711,-1.314553,1
-0.257022,-0.469181,0
-0.434728,-1.096926,1
-0.894754,0.352164,1
0.362319,-1.052718,1
1.180531,-0.225030,1
-0.985626,0.537957,1
0.686590,-1.003363,1
-0.074250,-0.523572,0
0.622499,0.034352,0
-2.059607,-2.091238,2
1.841488,-1.079758,2
0.346924,1.118747,1
1.525010,0.452805,2
-0.674140,-1.596272,2
-0.685258,-1.410765,2
3.508701,-0.484990,2
0.249772,1.928746,2
1.101840,-0.364713,1
-0.520789,-0.218031,0
1.141593,0.023553,1
-0.369496,0.603569,0
-1.265165,-1.671284,2
-1.835729,0.596702,2
-1.109359,-0.150576,1
-1.183672,1.470850,2
1.013237,-0.436890,1
-1.270233,0.179110,1
-0.796712,-1.482002,2
-0.329530,-2.176412,2
0.186898,1.274099,1
-0.936864,0.114949,0
-0.765024,0.941056,1
-0.415162,-0.953279,1
-0.096537,0.620619,0
0.722077,0.892648,1
-1.270693,-1.426687,2
1.603541,-0.176227,2
-0.294846,-0.076372,0
-1.088028,0.654980,1
0.769524,-1.278737,2
1.169944,1.212883,2
-2.064035,-0.810377,2
1.154302,-0.854044,1
-0.079520,-0.094426,0
0.999153,-0.613552,1
0.112904,1.151639,1
0.149195,-2.059063,2
0.495229,-0.742419,0
-0.737830,-0.599138,1
0.704190,0.021788,0
0.384846,-0.483129,0
-0.718035,0.011767,0
1.565068,-1.825059,2
-0.187625,1.247222,1
-1.382595,1.159637,2
-0.135366,1.343822,1
-1.162690,0.157451,1
0.587638,-0.752734,1
-1.097656,0.390188,1
1.298835,-0.431439,1
-0.314077,-0.184327,0
-1.540356,0.013898,2
1.885311,0.478643,2
0.347659,-0.137186,0
0.771354,-1.208201,1
1.411386,0.612805,2
0.036183,-0.364177,0
-0.018087,-0.355832,0
-1.955364,-0.335731,2
-1.410891,-1.272389,2
0.605330,-0.539864,0
